# M      K        2step_us   fused_us  speedup
  1      4096         7.18       4.11    1.75x PASS(bad=0)
  16     4096         8.20       4.35    1.89x PASS(bad=0)
  256    4096         8.21       6.16    1.33x PASS(bad=0)
  1024   4096        10.26      12.30    0.83x PASS(bad=0)
  4096   4096        22.61      38.97    0.58x PASS(bad=0)
  16384  4096        89.78     153.89    0.58x PASS(bad=2)
  4096   7168        41.01      63.77    0.64x PASS(bad=4)
  16384  7168       139.47     252.39    0.55x PASS(bad=10)
  4096   8192        42.86      72.68    0.59x PASS(bad=0)
  16384  8192       149.28     283.09    0.53x PASS(bad=6)
