layer                    M      N      K        us    TFLOPS      GB/s      AI  %TCpeak      %BW
f_b_proj                 1   1536    128       3.9       0.1     102.4     1.0     0.0%     1.3%
f_b_proj                 8   1536    128       4.0       0.8     103.8     7.5     0.0%     1.3%
f_b_proj                16   1536    128       3.9       1.6     115.3    14.1     0.1%     1.4%
f_b_proj                64   1536    128       3.8       6.6     159.3    41.5     0.3%     2.0%
f_b_proj               256   1536    128       3.9      25.9     320.0    80.8     1.1%     4.0%
f_b_proj              1024   1536    128       4.0     100.8     951.6   105.9     4.5%    11.9%
f_b_proj              4096   1536    128       5.0     325.0    2829.8   114.8    14.4%    35.4%
f_b_proj             16384   1536    128      11.3     572.2    4877.7   117.3    25.4%    61.0%
f_b_proj             65536   1536    128      37.1     694.1    5885.0   117.9    30.8%    73.6%

q_b_proj                 1   2304   1536       9.3       0.8     762.0     1.0     0.0%     9.5%
q_b_proj                 8   2304   1536       5.9       9.6    1208.3     7.9     0.4%    15.1%
q_b_proj                16   2304   1536       3.6      31.5    2003.5    15.7     1.4%    25.0%
q_b_proj                64   2304   1536       3.7     123.9    2071.0    59.8     5.5%    25.9%
q_b_proj               256   2304   1536       3.9     470.6    2348.8   200.3    20.9%    29.4%
q_b_proj              1024   2304   1536       6.0    1212.9    2500.5   485.1    53.9%    31.3%
q_b_proj              4096   2304   1536      16.6    1743.1    2317.0   752.3    77.5%    29.0%
q_b_proj             16384   2304   1536      60.9    1904.6    2182.9   872.5    84.6%    27.3%
q_b_proj             65536   2304   1536     228.9    2026.7    2230.0   908.8    90.1%    27.9%

o_proj                   1   7168   1536       4.7       4.6    4653.0     1.0     0.2%    58.2%
o_proj                   8   7168   1536       3.6      48.4    6086.9     7.9     2.2%    76.1%
o_proj                  16   7168   1536       3.7      94.5    5982.4    15.8     4.2%    74.8%
o_proj                  64   7168   1536       4.5     313.5    5146.1    60.9    13.9%    64.3%
o_proj                 256   7168   1536       6.1     930.1    4368.4   212.9    41.3%    54.6%
o_proj                1024   7168   1536      16.5    1366.0    2413.8   565.9    60.7%    30.2%
o_proj                4096   7168   1536      47.3    1906.5    1972.6   966.5    84.7%    24.7%
